Workload,Batch,Commit,QTime
100,1,T,1239
100,10,T,724
100,100,T,685
100,1000,T,680
200,1,T,735
200,10,T,588
200,100,T,652
200,1000,T,1173
400,1,T,693
400,10,T,981
400,100,T,584
400,1000,T,611
800,1,T,695
800,10,T,1440
800,100,T,947
800,1000,T,1128
1600,1,T,730
1600,10,T,624
1600,100,T,635
1600,1000,T,609
3200,1,T,795
3200,10,T,718
3200,100,T,641
3200,1000,T,609
6400,1,T,758
6400,10,T,636
6400,100,T,607
6400,1000,T,1956
12800,1,T,809
12800,10,T,597
12800,100,T,647
12800,1000,T,658
25600,1,T,2026
25600,10,T,592
25600,100,T,1715
25600,1000,T,1128
51200,1,T,2219
51200,10,T,1696
51200,100,T,652
51200,1000,T,618
102400,1,T,2985
102400,10,T,617
102400,100,T,607
102400,1000,T,1151
204800,1,T,1672
204800,10,T,1815
204800,100,T,605
204800,1000,T,1742
409600,1,T,1445
409600,10,T,653
409600,100,T,613
409600,1000,T,649
819200,1,T,1896
819200,10,T,678
819200,100,T,666
819200,1000,T,1786
1638400,1,T,3834
1638400,10,T,772
1638400,100,T,762
1638400,1000,T,905
100,1,F,35
100,10,F,6
100,100,F,4
100,1000,F,3
200,1,F,32
200,10,F,3
200,100,F,3
200,1000,F,3
400,1,F,29
400,10,F,3
400,100,F,2
400,1000,F,3
800,1,F,28
800,10,F,2
800,100,F,2
800,1000,F,2
1600,1,F,28
1600,10,F,3
1600,100,F,3
1600,1000,F,2
3200,1,F,29
3200,10,F,2
3200,100,F,2
3200,1000,F,2
6400,1,F,32
6400,10,F,7
6400,100,F,2
6400,1000,F,2
12800,1,F,28
12800,10,F,3
12800,100,F,3
12800,1000,F,2
25600,1,F,27
25600,10,F,2
25600,100,F,3
25600,1000,F,2
51200,1,F,27
51200,10,F,2
51200,100,F,2
51200,1000,F,3
102400,1,F,22
102400,10,F,3
102400,100,F,1
102400,1000,F,2
204800,1,F,24
204800,10,F,2
204800,100,F,1
204800,1000,F,2
409600,1,F,24
409600,10,F,2
409600,100,F,1
409600,1000,F,2
819200,1,F,22
819200,10,F,2
819200,100,F,1
819200,1000,F,2
1638400,1,F,25
1638400,10,F,2
1638400,100,F,1
1638400,1000,F,2
