Workload,Batch,Qtime,Parsing
100,1,825,17.564941406
100,10,8910,72.020507817
100,100,98148,344.655517571
100,1000,970584,4226.65869137
200,1,768,3.380859375
200,10,10050,34.192138664
200,100,100067,326.195068376
200,1000,990084,3347.08496083
400,1,728,4.448974609
400,10,8972,35.083251956
400,100,99331,323.200195298
400,1000,1001339,3268.093749949
800,1,1166,4.36108398
800,10,10062,32.171874997
800,100,98500,322.239013659
800,1000,1015871,3239.288574261
1600,1,636,2.1328125
1600,10,9684,30.934570313
1600,100,95911,307.813476575
1600,1000,974669,3228.599121133
3200,1,661,3.836914062
3200,10,8663,39.786132815
3200,100,95835,321.853515616
3200,1000,972200,3152.942382787
6400,1,1233,3.96484375
6400,10,9522,32.635742186
6400,100,95999,328.95410156
6400,1000,971516,3174.129394566
12800,1,958,3.564941406
12800,10,8886,35.864990226
12800,100,94008,304.5107422
12800,1000,971743,3080.132324179
25600,1,630,3.512207031
25600,10,9007,30.720947266
25600,100,101515,289.736572251
25600,1000,980048,2928.682861444
51200,1,1072,5.6550293
51200,10,7857,25.467529298
51200,100,100138,263.5703125
51200,1000,977088,2725.809814483
102400,1,657,3.254882812
102400,10,8251,30.900146478
102400,100,96869,270.762939452
102400,1000,977956,2603.309082136
204800,1,695,6.397705078
204800,10,8973,26.065429686
204800,100,95010,234.349853511
204800,1000,1042109,2281.626953106
409600,1,662,2.579833984
409600,10,9646,24.847656252
409600,100,99554,224.653076124
409600,1000,1041508,2213.675781352
819200,1,648,7.773925781
819200,10,9018,21.896484386
819200,100,99530,215.834960904
819200,1000,1056034,2348.164550756
1638400,1,697,1.822998047
1638400,10,10159,23.100830065
1638400,100,98710,233.106445333
1638400,1000,1057882,2246.480468721
