Workload,BatchSize,Time
100,Batch Size=1,34.9189453125
100,Batch Size=10,71.796875
100,Batch Size=100,432.9431152344
100,Batch Size=1000,4348.8632812501
200,Batch Size=1,32.623046875
200,Batch Size=10,63.5541992188
200,Batch Size=100,645.4018554688
200,Batch Size=1000,3923.1975097657
400,Batch Size=1,26.5708007812
400,Batch Size=10,62.2941894531
400,Batch Size=100,646.19140625
400,Batch Size=1000,3825.0461425782
800,Batch Size=1,22.8520507812
800,Batch Size=10,61.7331542969
800,Batch Size=100,635.3669433594
800,Batch Size=1000,3804.4858398438
1600,Batch Size=1,26.7900390625
1600,Batch Size=10,61.4526367188
1600,Batch Size=100,563.9282226563
1600,Batch Size=1000,3829.7985839842
3200,Batch Size=1,22.2541503906
3200,Batch Size=10,64.9719238281
3200,Batch Size=100,386.3903808594
3200,Batch Size=1000,3828.7763671873
6400,Batch Size=1,29.8852539062
6400,Batch Size=10,62.29296875
6400,Batch Size=100,650.0563964843
6400,Batch Size=1000,3969.7187500005
12800,Batch Size=1,24.2141113281
12800,Batch Size=10,61.8620605469
12800,Batch Size=100,645.5129394531
12800,Batch Size=1000,3952.960693359
25600,Batch Size=1,31.3557128906
25600,Batch Size=10,62.0244140625
25600,Batch Size=100,646.181640625
25600,Batch Size=1000,3813.3281250002
51200,Batch Size=1,31.4760742188
51200,Batch Size=10,64.955078125
51200,Batch Size=100,644.7961425781
51200,Batch Size=1000,3958.4914550783
102400,Batch Size=1,30.4978027344
102400,Batch Size=10,61.7072753906
102400,Batch Size=100,385.4150390625
102400,Batch Size=1000,3962.7634277343
204800,Batch Size=1,21.6628417969
204800,Batch Size=10,36.1955566406
204800,Batch Size=100,383.3386230469
204800,Batch Size=1000,3819.1220703125
409600,Batch Size=1,21.5539550781
409600,Batch Size=10,36.6984863281
409600,Batch Size=100,384.5888671875
409600,Batch Size=1000,3947.9370117188
819200,Batch Size=1,21.8977050781
819200,Batch Size=10,36.7731933594
819200,Batch Size=100,383.5654296875
819200,Batch Size=1000,3937.5971679691
1638400,Batch Size=1,23.4968261719
1638400,Batch Size=10,37.9494628906
1638400,Batch Size=100,381.1059570313
1638400,Batch Size=1000,3802.8427734375
