Workload,Level1,Level2,Level3
100,2.7642415365,2.7497558594,2.7409667969
200,2.7605794271,2.7456054688,2.7625325521
400,2.7393391927,2.7453613281,2.7490234375
800,2.7447102865,2.7347005208,2.7508138021
1600,2.7522786458,2.7572428385,2.767985026
3200,2.7517903646,2.7360839844,2.7547200521
6400,2.7342936198,2.7785644531,2.7495117188
12800,2.8135579427,2.7506510417,2.7786458333
25600,2.7552083333,2.7443847656,2.7599283854
51200,2.960530599,2.7635904948,2.7555338542
102400,2.7650553385,2.7631022135,2.7389322917
204800,2.7499186198,2.762125651,2.7465820313
409600,2.779703776,2.745686849,2.756266276
819200,2.7455240885,2.7552897135,2.7610677083
1638400,2.750406901,2.8515625,2.7403971354
