Workload,Indexing,Ingestion,OAI PMH data provider,RSS Feed,Search
100,0.86,0.1213378906,480,3.1304931641,24.6673583984
200,0.86,0.1166992188,980,5.6138916016,47.8742675782
400,1.14,0.1174316406,2000,10.990234375,97.3832397461
800,1.32,0.1179199219,4120,20.8957519531,191.902282715
1600,2.14,0.1170247396,5410,40.3462524414,386.9901123048
3200,3.13,0.1193033854,5940,78.8595581055,768.3469238283
6400,5.33,0.1194661458,6730,156.5881958008,1531.0562744125
12800,10.61,0.126953125,8370,309.9473266603,3093.1226806625
25600,17.99,0.1186523438,11680,616.7454833985,6172.2185668925
51200,35.66,0.1223144531,18900,1237.0037231425,12487.0630493
102400,70.36,0.1350097656,33460,2505.254821775,25108.742065425
204800,148.22,0.1280110677,66950,5117.12963867,49301.45025635
409600,3618.62,0.1213378906,139720,10534.386718725,100267.334777925
819200,8337.75,0.1241048177,586450,137461.8462525,7365254.0037825
1638400,19968.95,0.1243489583,1937090,1503809.296325,18664713.649575
