Workload,Source,ListIdentifiers,ListRecords,ListSets
100,DSpace,2.379,126.665,1.158
200,DSpace,1.297,125.501,2.796
400,DSpace,2.302,129.667,2.042
800,DSpace,2.301,129.838,1.177
1600,DSpace,1.296,126.293,1.256
3200,DSpace,8.52,236.505,5.422
6400,DSpace,23.162,224.666,3.344
12800,DSpace,14.455,205.289,4.714
25600,DSpace,4.436,189.994,5.91
51200,DSpace,7.642,201.199,5.984
102400,DSpace,6.473,185.536,5.487
204800,DSpace,1.641,218.283,1.421
409600,DSpace,24.744,1170.547,107.464
819200,DSpace,29.141,1499.142,94.392
1638400,DSpace,25.517,1692.330,124.273
100,FileRepo,10,480,10
200,FileRepo,20,980,10
400,FileRepo,60,2000,10
800,FileRepo,170,4120,10
1600,FileRepo,390,5410,10
3200,FileRepo,770,5940,20
6400,FileRepo,1530,6730,40
12800,FileRepo,3090,8370,70
25600,FileRepo,6250,11680,120
51200,FileRepo,13380,18900,240
102400,FileRepo,28460,33460,490
204800,FileRepo,61860,66950,990
409600,FileRepo,133940,139720,1990
819200,FileRepo,548080,586450,11610
1638400,FileRepo,1922890,1937090,609180
