Workload,resumptionToken,FirstList,LastList,Level
100,Token size=10,0.06,0.06,Level-1
200,Token size=10,0.06,0.06,Level-1
400,Token size=10,0.07,0.07,Level-1
800,Token size=10,0.09,0.08,Level-1
1600,Token size=10,0.12,0.12,Level-1
3200,Token size=10,0.18,0.18,Level-1
6400,Token size=10,0.31,0.31,Level-1
12800,Token size=10,0.57,0.56,Level-1
25600,Token size=10,1.09,1.07,Level-1
51200,Token size=10,2.13,2.1,Level-1
102400,Token size=10,4.28,4.21,Level-1
204800,Token size=10,8.68,8.55,Level-1
409600,Token size=10,17.38,16.93,Level-1
819200,Token size=10,262.48,37.02,Level-1
1638400,Token size=10,1276.84,1266.52,Level-1
100,Token size=100,0.48,,Level-1
200,Token size=100,0.48,0.5,Level-1
400,Token size=100,0.51,0.52,Level-1
800,Token size=100,0.54,0.55,Level-1
1600,Token size=100,0.59,0.62,Level-1
3200,Token size=100,0.7,0.69,Level-1
6400,Token size=100,0.89,0.88,Level-1
12800,Token size=100,1.28,1.27,Level-1
25600,Token size=100,2.06,2.05,Level-1
51200,Token size=100,3.68,3.67,Level-1
102400,Token size=100,6.91,6.96,Level-1
204800,Token size=100,13.7,13.86,Level-1
409600,Token size=100,27.4,27.38,Level-1
819200,Token size=100,57.02,57,Level-1
1638400,Token size=100,1096.86,1145.49,Level-1
100,Token size=1000,0.49,,Level-1
200,Token size=1000,0.98,,Level-1
400,Token size=1000,1.98,,Level-1
800,Token size=1000,4.08,,Level-1
1600,Token size=1000,5.41,3.39,Level-1
3200,Token size=1000,5.91,6.01,Level-1
6400,Token size=1000,6.72,6.89,Level-1
12800,Token size=1000,8.44,8.57,Level-1
25600,Token size=1000,11.78,12.69,Level-1
51200,Token size=1000,19.09,19.92,Level-1
102400,Token size=1000,34.26,36.85,Level-1
204800,Token size=1000,67.59,73.03,Level-1
409600,Token size=1000,143.86,157.45,Level-1
819200,Token size=1000,552.25,611.79,Level-1
1638400,Token size=1000,1827.78,1976.55,Level-1
100,Token size=10,0.06,0.06,Level-3
200,Token size=10,0.08,0.08,Level-3
400,Token size=10,0.09,0.09,Level-3
800,Token size=10,0.12,0.13,Level-3
1600,Token size=10,0.19,0.19,Level-3
3200,Token size=10,0.3,0.3,Level-3
6400,Token size=10,0.5,0.49,Level-3
12800,Token size=10,0.87,0.85,Level-3
25600,Token size=10,1.53,1.51,Level-3
51200,Token size=10,2.8,2.77,Level-3
102400,Token size=10,5.21,5.13,Level-3
204800,Token size=10,10.17,10.05,Level-3
409600,Token size=10,20.18,19.77,Level-3
819200,Token size=10,358.11,354.81,Level-3
1638400,Token size=10,551.6,549.42,Level-3
100,Token size=100,0.49,,Level-3
200,Token size=100,0.5,0.51,Level-3
400,Token size=100,0.53,0.55,Level-3
800,Token size=100,0.58,0.59,Level-3
1600,Token size=100,2.71,0.7,Level-3
3200,Token size=100,0.82,0.81,Level-3
6400,Token size=100,1.08,1.07,Level-3
12800,Token size=100,1.57,1.56,Level-3
25600,Token size=100,2.49,2.49,Level-3
51200,Token size=100,4.32,4.34,Level-3
102400,Token size=100,7.97,8,Level-3
204800,Token size=100,15.17,15.2,Level-3
409600,Token size=100,29.88,29.92,Level-3
819200,Token size=100,383.73,380.8,Level-3
1638400,Token size=100,597.5,597.66,Level-3
100,Token size=1000,0.49,,Level-3
200,Token size=1000,0.98,,Level-3
400,Token size=1000,2.01,,Level-3
800,Token size=1000,4.14,,Level-3
1600,Token size=1000,5.51,3.44,Level-3
3200,Token size=1000,6.01,6.12,Level-3
6400,Token size=1000,6.94,7.02,Level-3
12800,Token size=1000,8.75,8.89,Level-3
25600,Token size=1000,12.36,13.2,Level-3
51200,Token size=1000,19.93,20.99,Level-3
102400,Token size=1000,35.58,37.96,Level-3
204800,Token size=1000,70.46,74.83,Level-3
409600,Token size=1000,149.26,160.21,Level-3
819200,Token size=1000,673.34,724.76,Level-3
1638400,Token size=1000,1239.35,1402.34,Level-3
100,Token size=10,0.06,0.06,Level-2
200,Token size=10,0.07,0.07,Level-2
400,Token size=10,0.08,0.08,Level-2
800,Token size=10,0.1,0.1,Level-2
1600,Token size=10,0.14,0.14,Level-2
3200,Token size=10,0.22,0.21,Level-2
6400,Token size=10,0.35,0.35,Level-2
12800,Token size=10,0.64,0.63,Level-2
25600,Token size=10,1.18,1.15,Level-2
51200,Token size=10,2.28,2.23,Level-2
102400,Token size=10,4.47,4.38,Level-2
204800,Token size=10,9.05,8.89,Level-2
409600,Token size=10,18.07,17.64,Level-2
819200,Token size=10,129.52,126.58,Level-2
1638400,Token size=10,286.51,285.97,Level-2
100,Token size=100,0.48,,Level-2
200,Token size=100,0.49,0.5,Level-2
400,Token size=100,0.5,0.53,Level-2
800,Token size=100,0.54,0.56,Level-2
1600,Token size=100,0.62,0.64,Level-2
3200,Token size=100,0.73,0.72,Level-2
6400,Token size=100,0.94,0.93,Level-2
12800,Token size=100,1.34,1.33,Level-2
25600,Token size=100,2.14,2.14,Level-2
51200,Token size=100,3.79,3.79,Level-2
102400,Token size=100,7.13,7.15,Level-2
204800,Token size=100,13.99,14.15,Level-2
409600,Token size=100,27.89,27.95,Level-2
819200,Token size=100,148.75,151.34,Level-2
1638400,Token size=100,326.47,328.29,Level-2
100,Token size=1000,0.49,,Level-2
200,Token size=1000,0.98,,Level-2
400,Token size=1000,2.01,,Level-2
800,Token size=1000,4.12,,Level-2
1600,Token size=1000,5.46,3.4,Level-2
3200,Token size=1000,5.96,6.04,Level-2
6400,Token size=1000,6.78,6.93,Level-2
12800,Token size=1000,8.52,8.65,Level-2
25600,Token size=1000,11.95,12.94,Level-2
51200,Token size=1000,19.67,20.13,Level-2
102400,Token size=1000,34.69,36.85,Level-2
204800,Token size=1000,67.5,74.88,Level-2
409600,Token size=1000,142.84,159.64,Level-2
819200,Token size=1000,429.66,454.58,Level-2
1638400,Token size=1000,953.26,1092.66,Level-2
