Workload,resumptionToken,FirstList,LastList
100,Token Size=10,0.06,0.06
200,Token Size=10,0.06,0.06
400,Token Size=10,0.07,0.07
800,Token Size=10,0.09,0.08
1600,Token Size=10,0.12,0.12
3200,Token Size=10,0.18,0.18
6400,Token Size=10,0.31,0.31
12800,Token Size=10,0.57,0.56
25600,Token Size=10,1.09,1.07
51200,Token Size=10,2.13,2.1
102400,Token Size=10,4.28,4.21
204800,Token Size=10,8.68,8.55
409600,Token Size=10,17.38,16.93
819200,Token Size=10,262.48,37.02
1638400,Token Size=10,1276.84,1266.52
100,Token Size=100,0.48,0.48
200,Token Size=100,0.48,0.5
400,Token Size=100,0.51,0.52
800,Token Size=100,0.54,0.55
1600,Token Size=100,0.59,0.62
3200,Token Size=100,0.7,0.69
6400,Token Size=100,0.89,0.88
12800,Token Size=100,1.28,1.27
25600,Token Size=100,2.06,2.05
51200,Token Size=100,3.68,3.67
102400,Token Size=100,6.91,6.96
204800,Token Size=100,13.7,13.86
409600,Token Size=100,27.4,27.38
819200,Token Size=100,57.02,57
1638400,Token Size=100,1096.86,1145.49
100,Token Size=1000,0.49,0.49
200,Token Size=1000,0.98,0.98
400,Token Size=1000,1.98,2.01
800,Token Size=1000,4.08,4.22
1600,Token Size=1000,5.41,3.39
3200,Token Size=1000,5.91,6.01
6400,Token Size=1000,6.72,6.89
12800,Token Size=1000,8.44,8.57
25600,Token Size=1000,11.78,12.69
51200,Token Size=1000,19.09,19.92
102400,Token Size=1000,34.26,36.85
204800,Token Size=1000,67.59,73.03
409600,Token Size=1000,143.86,157.45
819200,Token Size=1000,552.25,611.79
1638400,Token Size=1000,1827.78,1976.55
