Workload,Level,GetRecord,ListIdentifiers,ListRecords,ListSets
100,Level-1,0.01,0.01,0.48,0
200,Level-1,0.01,0.02,0.98,0.01
400,Level-1,0.01,0.06,2,0
800,Level-1,0.02,0.17,4.12,0.01
1600,Level-1,0.02,0.39,5.41,0.01
3200,Level-1,0.05,0.77,5.94,0.02
6400,Level-1,0.08,1.53,6.73,0.04
12800,Level-1,0.15,3.09,8.37,0.07
25600,Level-1,0.3,6.25,11.68,0.12
51200,Level-1,0.59,13.38,18.9,0.24
102400,Level-1,1.2,28.46,33.46,0.49
204800,Level-1,2.45,61.86,66.95,0.99
409600,Level-1,4.87,133.94,139.72,1.99
819200,Level-1,10.72,548.08,586.45,11.61
1638400,Level-1,608.11,1922.89,1937.09,609.18
100,Level-3,0.01,0.02,0.49,0.01
200,Level-3,0.02,0.04,0.99,0.02
400,Level-3,0.02,0.08,2.02,0.03
800,Level-3,0.04,0.21,4.2,0.05
1600,Level-3,0.06,0.47,5.57,0.08
3200,Level-3,0.1,0.89,6.06,0.14
6400,Level-3,0.19,1.74,6.98,0.22
12800,Level-3,0.31,3.44,8.79,0.35
25600,Level-3,0.54,6.9,12.43,0.54
51200,Level-3,0.97,14.23,19.43,0.89
102400,Level-3,1.73,28.77,33.31,1.4
204800,Level-3,3.18,56.51,65.78,2.24
409600,Level-3,6.16,141.94,147.23,3.79
819200,Level-3,168.91,699.98,704.08,161.98
1638400,Level-3,257.12,1342.29,1317.7,248.24
100,Level-2,0.01,0.01,0.49,0.01
200,Level-2,0.01,0.03,0.99,0.01
400,Level-2,0.02,0.07,2.01,0.01
800,Level-2,0.02,0.18,4.17,0.02
1600,Level-2,0.04,0.41,5.47,0.03
3200,Level-2,0.06,0.8,5.97,0.04
6400,Level-2,0.1,1.57,6.78,0.08
12800,Level-2,0.19,3.16,8.49,0.12
25600,Level-2,0.35,6.47,11.97,0.19
51200,Level-2,0.68,13.45,19.1,0.34
102400,Level-2,1.32,29.37,34.63,0.62
204800,Level-2,2.63,64.93,69.82,1.19
409600,Level-2,5.2,141.48,147.83,2.28
819200,Level-2,56.65,432.59,425.54,53.11
1638400,Level-2,128,973.71,951.68,121.05
