Workload,5X,10X,20X,Structure
100,3.1304931641,3.163269043,3.2350463867,h1
200,5.6138916016,5.796081543,5.8765258789,h1
400,10.990234375,11.2214355469,11.3346557618,h1
800,20.8957519531,21.3482055664,21.4512329102,h1
1600,40.3462524414,41.141418457,41.0753173828,h1
3200,78.8595581055,80.1539916992,80.6708374024,h1
6400,156.5881958008,159.526916504,157.37298584,h1
12800,309.9473266603,312.8344726563,314.321044922,h1
25600,616.7454833985,619.2042236328,624.1536254883,h1
51200,1237.0037231425,1242.002624515,1252.6852417,h1
102400,2505.254821775,2488.41003418,2490.834228515,h1
204800,5117.12963867,4963.08557129,5007.6688232425,h1
409600,10534.386718725,10624.911560075,10627.81396485,h1
819200,137461.8462525,151019.95471175,160638.44122325,h1
1638400,1503809.296325,1493657.7374275,1526953.2141125,h1
100,5.1293334961,5.1126098633,5.12890625,h2
200,8.87890625,8.9628295898,9.0685424805,h2
400,16.7019042969,16.5907592774,16.9531860352,h2
800,29.5952148438,29.2688598633,29.8130493164,h2
1600,54.0305786133,54.1235961914,54.6340332032,h2
3200,97.3818359375,98.7824707031,97.9324951172,h2
6400,183.6787719725,183.3502197265,184.120300293,h2
12800,351.9190063478,352.0197753905,350.9315185548,h2
25600,667.2660522465,679.7703857423,676.19921875,h2
51200,1315.0360717775,1322.318847655,1313.8598632825,h2
102400,2608.52972412,2635.4238281275,2643.4875488275,h2
204800,5306.020751955,5175.5664672875,5215.1971435525,h2
409600,11482.2606201,11579.385009775,11610.1829834,h2
819200,68105.514404325,67246.451416,67591.51293945,h2
1638400,148297.5197145,148501.6292725,147208.149658,h2
100,7.9124145508,7.94140625,7.9319458008,h3
200,14.0758666992,14.3067626953,14.205078125,h3
400,26.5953979492,26.9370727539,26.8379516602,h3
800,47.1790161133,47.6857910157,47.5144042969,h3
1600,86.3621826172,86.5694580079,87.1157226563,h3
3200,152.8317871093,155.8082275393,166.4576416018,h3
6400,284.0562744143,281.598022461,282.2212524415,h3
12800,498.72454834,505.6193847655,526.233581543,h3
25600,953.0005493165,945.6891479495,938.2876586913,h3
51200,1669.8139648425,1792.8060302725,1765.01751709,h3
102400,3157.0095214875,3158.66986084,3348.1691284175,h3
204800,7957.981018075,8179.426513675,7864.646850585,h3
409600,21242.5150757,20641.1727295,21315.9215088,h3
819200,190861.291199,189238.28552275,189545.37176525,h3
1638400,293514.4815675,291265.95922825,292593.02673375,h3
