Workload,Processing,Traversal,Parsing,XPath,Structure
100,24.6673583984,3.9794921875,9.4939575195,11.1939086914,h1
200,47.8742675782,7.3744506836,18.6964111328,21.8034057617,h1
400,97.3832397461,14.5014038086,37.9913330078,44.8905029297,h1
800,191.902282715,27.4054565431,75.6998901367,88.7969360352,h1
1600,386.9901123048,53.4900512698,152.4407348633,181.0593261718,h1
3200,768.3469238283,104.3426513673,304.0778198245,359.9264526365,h1
6400,1531.0562744125,207.4905395493,602.7890625,720.7766723633,h1
12800,3093.1226806625,414.6845703125,1222.3314209,1456.10668945,h1
25600,6172.2185668925,825.3220214825,2454.14416504,2892.75238037,h1
51200,12487.0630493,1705.11480711,4959.819763185,5822.128479005,h1
102400,25108.742065425,3564.3349609225,9915.6099853525,11628.79711915,h1
204800,49301.45025635,6659.371765125,19546.46154785,23095.616943375,h1
409600,100267.334777925,14238.86248785,39959.60455325,46068.867736825,h1
819200,7365254.0037825,146293.293454,7039108.1015025,179852.608826,h1
1638400,18664713.649575,985024.8667455,17334711.13665,344977.6461795,h1
100,27.2279663086,6.4830932617,9.5142211914,11.2306518555,h2
200,51.909362793,11.4969482422,18.5111694336,21.9012451172,h2
400,105.8765258788,22.0095214842,38.2366333008,45.6303710937,h2
800,204.0386962893,38.1530761721,75.9852294922,89.900390625,h2
1600,406.3395385743,70.9324951168,153.6907348638,181.7163085938,h2
3200,795.3247070313,128.1399536135,304.509460449,362.6752929688,h2
6400,1574.1594238275,242.1823120113,612.9107666013,719.066345215,h2
12800,3133.2747192375,460.42803955,1227.220703125,1445.6259765625,h2
25600,6223.12664795,881.5872802775,2456.51092529,2885.0284423825,h2
51200,12518.88171385,1832.44494627,4916.0241699225,5770.4125976575,h2
102400,24983.10913085,3570.7881469825,9865.3925170925,11546.928466775,h2
204800,50112.47698975,7284.495605475,19754.91174315,23073.069641125,h2
409600,101745.170288025,15464.1981811,39962.57855225,46318.393554675,h2
819200,3458969.00177,101866.54552925,3168079.6801175,189022.77612325,h2
1638400,11020554.214175,204713.75504,10464731.94705,351108.512085,h2
100,30.502746582,9.6138916016,9.4568481445,11.4320068359,h3
200,57.5413818359,17.2737426758,18.326171875,21.9414672852,h3
400,116.115966797,32.7991943361,37.6735839844,45.6431884766,h3
800,224.3782958983,58.4542236326,74.9201660156,91.00390625,h3
1600,441.3248901368,107.9719238285,150.6657714843,182.687194824,h3
3200,859.7318115238,191.785766602,300.7835693358,367.162475586,h3
6400,1810.6535644525,483.9257202143,602.5999145508,724.1279296875,h3
12800,3335.7998046875,661.68395996,1218.290649415,1455.8251953125,h3
25600,6573.066833495,1228.373535155,2440.66192627,2904.03137207,h3
51200,13194.364074675,2423.05975339,4938.8477172825,5832.4566040025,h3
102400,26495.5614624,4947.5816650425,9959.2310791075,11588.74871825,h3
204800,54111.85772705,10790.5238037,20043.704650875,23277.629272475,h3
409600,121782.13922125,33768.90014655,40692.942932125,47320.296142575,h3
819200,1362081.2822875,242940.611267,927087.56042475,192053.11059575,h3
1638400,3125255.9830925,381067.10961825,2359344.5369875,384844.33648675,h3
