Technology,Experience,Code
Web-based-Apps,Less than 1 year,1
Web-based-Apps,1-3 years,2
Web-based-Apps,More than 6 years,4
Web-based-Apps,1-3 years,2
Web-based-Apps,1-3 years,2
Web-based-Apps,Less than 1 year,1
Web-based-Apps,Less than 1 year,1
Web-based-Apps,Less than 1 year,1
Web-based-Apps,Less than 1 year,1
Web-based-Apps,1-3 years,2
Web-based-Apps,Less than 1 year,1
Web-based-Apps,1-3 years,2
Web-based-Apps,Less than 1 year,1
Web-based-Apps,1-3 years,2
Web-based-Apps,1-3 years,2
Web-based-Apps,1-3 years,2
Web-based-Apps,Less than 1 year,1
Web-based-Apps,3-6 years,3
Web-based-Apps,Less than 1 year,1
Web-based-Apps,1-3 years,2
Web-based-Apps,Less than 1 year,1
Web-based-Apps,Less than 1 year,1
Web-based-Apps,Less than 1 year,1
Web-based-Apps,Less than 1 year,1
Web-based-Apps,Less than 1 year,1
Web-based-Apps,1-3 years,2
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,1-3 years,2
Database-driven-Apps,More than 6 years,4
Database-driven-Apps,3-6 years,3
Database-driven-Apps,1-3 years,2
Database-driven-Apps,1-3 years,2
Database-driven-Apps,1-3 years,2
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,1-3 years,2
Database-driven-Apps,1-3 years,2
Database-driven-Apps,1-3 years,2
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,1-3 years,2
Database-driven-Apps,1-3 years,2
Database-driven-Apps,1-3 years,2
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,1-3 years,2
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,Less than 1 year,1
Database-driven-Apps,Less than 1 year,1
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,More than 6 years,4
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,3-6 years,3
DBMS,1-3 years,2
DBMS,Less than 1 year,1
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,Less than 1 year,1
DBMS,1-3 years,2
DBMS,Less than 1 year,1
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,Less than 1 year,1
DBMS,Less than 1 year,1
DBMS,1-3 years,2
DBMS,1-3 years,2
DBMS,1-3 years,2
XML,Less than 1 year,1
XML,Less than 1 year,1
XML,3-6 years,3
XML,1-3 years,2
XML,Less than 1 year,1
XML,Less than 1 year,1
XML,Less than 1 year,1
XML,Less than 1 year,1
XML,1-3 years,2
XML,1-3 years,2
XML,1-3 years,2
XML,1-3 years,2
XML,Less than 1 year,1
XML,Less than 1 year,1
XML,Less than 1 year,1
XML,1-3 years,2
XML,1-3 years,2
XML,1-3 years,2
XML,Less than 1 year,1
XML,1-3 years,2
XML,1-3 years,2
XML,Less than 1 year,1
XML,Less than 1 year,1
XML,1-3 years,2
XML,1-3 years,2
XML,1-3 years,2
