Classification,Concept
1,Metadata
3,Metadata
2,Metadata
3,Metadata
3,Metadata
2,Metadata
2,Metadata
3,Metadata
3,Metadata
3,Metadata
1,Metadata
2,Metadata
2,Metadata
1,Metadata
2,Metadata
1,Metadata
2,Metadata
1,Metadata
3,Metadata
3,Metadata
2,Metadata
2,Metadata
1,Metadata
4,Metadata
1,Metadata
1,Metadata
1,DL
3,DL
2,DL
3,DL
3,DL
2,DL
2,DL
2,DL
2,DL
2,DL
1,DL
2,DL
2,DL
1,DL
2,DL
1,DL
1,DL
1,DL
3,DL
2,DL
1,DL
2,DL
1,DL
3,DL
1,DL
1,DL
1,Preservation
3,Preservation
2,Preservation
3,Preservation
3,Preservation
2,Preservation
2,Preservation
2,Preservation
3,Preservation
2,Preservation
1,Preservation
3,Preservation
2,Preservation
1,Preservation
1,Preservation
1,Preservation
1,Preservation
1,Preservation
3,Preservation
2,Preservation
1,Preservation
2,Preservation
1,Preservation
3,Preservation
1,Preservation
1,Preservation
