Storage,Frequency,Code
Cloud,Not at all,1
Cloud,Not at all,1
Cloud,Some of the time,3
Cloud,Not at all,1
Cloud,Not at all,1
Cloud,Not at all,1
Cloud,Not at all,1
Cloud,Some of the time,3
Cloud,Rarely,4
Cloud,Rarely,4
Cloud,Not at all,1
Cloud,Rarely,4
Cloud,Not at all,1
Cloud,Not at all,1
Cloud,Not at all,1
Cloud,Some of the time,3
Cloud,Rarely,4
Cloud,Rarely,4
Cloud,Rarely,4
Cloud,Not at all,1
Cloud,Some of the time,3
Cloud,Not at all,1
Cloud,Rarely,4
Cloud,Rarely,4
Cloud,Not at all,1
Cloud,Some of the time,3
Database,Rarely,4
Database,All the time,5
Database,All the time,5
Database,Some of the time,3
Database,Most of the time,2
Database,Most of the time,2
Database,Rarely,4
Database,Most of the time,2
Database,Some of the time,3
Database,Some of the time,3
Database,Some of the time,3
Database,Most of the time,2
Database,Some of the time,3
Database,Rarely,4
Database,Some of the time,3
Database,Some of the time,3
Database,Most of the time,2
Database,Most of the time,2
Database,All the time,5
Database,Most of the time,2
Database,Some of the time,3
Database,Some of the time,3
Database,Rarely,4
Database,Some of the time,3
Database,Rarely,4
Database,All the time,5
File,Not at all,1
File,Some of the time,3
File,Rarely,4
File,All the time,5
File,Rarely,4
File,Rarely,4
File,All the time,5
File,All the time,5
File,Most of the time,2
File,Most of the time,2
File,Most of the time,2
File,Some of the time,3
File,Some of the time,3
File,All the time,5
File,Most of the time,2
File,Some of the time,3
File,Some of the time,3
File,Some of the time,3
File,All the time,5
File,Rarely,4
File,Most of the time,2
File,Rarely,4
File,Some of the time,3
File,Some of the time,3
File,All the time,5
File,Most of the time,2
